id,title,slug,image,video_url,video_path,video_file,description,ingredients,instructions,recipe_notes,tags,prep_time,cook_time,total_time,servings,difficulty,rating,rating_count,category,cuisine_type,dietary_restrictions,calories_per_serving,protein_per_serving,carbs_per_serving,fat_per_serving,fiber_per_serving,sugar_per_serving,sodium_per_serving,status,views,likes,author_id,featured,created_at,updated_at,uploaded_by_user_id,is_user_recipe,moderation_status,moderator_notes
217,"Cha (Bengali Tea)","cha-bengali-tea","images/bengali-tea.jpg","","","","Traditional Bengali milk tea with aromatic spices","2 cups water||1 cup milk||2 tsp tea leaves||2 tsp sugar||2 cardamom pods||1 inch ginger||1 cinnamon stick","Boil water with spices||Add tea leaves and boil for 2 minutes||Add milk and sugar||Simmer for 3-4 minutes||Strain and serve hot","Adjust sugar and milk to taste","beverages,tea,bengali,hot,traditional","5 mins","8 mins","13 mins",2,"Easy",4.8,45,"beverages","Bengali","vegetarian",85,2.5,14.8,2.2,0.1,12.5,45.2,"published",267,78,1,1,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
218,"Borhani","borhani","images/borhani.jpg","","","","Spiced yogurt drink - traditional Bengali digestive","2 cups yogurt||1 cup water||2 tbsp sugar||1 tsp roasted cumin powder||1/2 tsp black salt||1/4 tsp chaat masala||Mint leaves||Ice cubes","Whisk yogurt until smooth||Add water, sugar, and spices||Blend until frothy||Add ice cubes and mint||Serve chilled","Perfect after heavy meals","beverages,yogurt,bengali,cold,digestive","10 mins","0 mins","10 mins",4,"Easy",4.6,32,"beverages","Bengali","vegetarian",95,4.8,16.2,2.5,0.2,14.8,285.5,"published",198,56,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
219,"Shorbot (Rose Syrup Drink)","shorbot-rose-syrup","images/shorbot.jpg","","","","Refreshing rose-flavored summer drink","3 tbsp rose syrup||2 cups cold water||1 tbsp lemon juice||1 tsp sugar||Ice cubes||Rose petals for garnish","Mix rose syrup with cold water||Add lemon juice and sugar||Stir well||Add ice cubes||Garnish with rose petals||Serve chilled","Popular during summer and Ramadan","beverages,rose,bengali,cold,summer","5 mins","0 mins","5 mins",2,"Easy",4.5,28,"beverages","Bengali","vegetarian",75,0.2,18.5,0.1,0.1,17.8,15.2,"published",189,43,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
220,"Aam Panna","aam-panna","images/aam-panna.jpg","","","","Raw mango drink with cooling spices","2 raw mangoes||4 cups water||3 tbsp sugar||1 tsp roasted cumin powder||1/2 tsp black salt||1/4 tsp black pepper||Mint leaves||Ice cubes","Boil mangoes until soft||Peel and extract pulp||Blend with water and spices||Add sugar and mix well||Serve chilled with mint and ice","Excellent for summer heat","beverages,mango,indian,cold,summer","15 mins","20 mins","35 mins",4,"Easy",4.7,24,"beverages","Indian","vegetarian",85,0.8,21.5,0.3,1.2,19.8,185.5,"published",156,38,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
221,"Lassi (Sweet)","lassi-sweet","images/sweet-lassi.jpg","","","","Traditional yogurt-based drink from Punjab","2 cups yogurt||1/2 cup milk||3 tbsp sugar||1/4 tsp cardamom powder||1 tbsp rose water||Ice cubes||Chopped almonds for garnish","Whisk yogurt until smooth||Add milk, sugar, cardamom||Blend until frothy||Add rose water and ice||Garnish with almonds||Serve chilled","Can be made with mango for variation","beverages,yogurt,indian,cold,sweet","10 mins","0 mins","10 mins",3,"Easy",4.8,35,"beverages","Indian","vegetarian",125,5.2,18.8,3.5,0.1,17.2,65.5,"published",234,67,1,1,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
222,"Masala Chai","masala-chai","images/masala-chai.jpg","","","","Spiced Indian tea with aromatic herbs","2 cups water||1 cup milk||2 tsp tea leaves||2 tbsp sugar||4 cardamom pods||1 inch ginger||4 cloves||1 cinnamon stick||1/4 tsp black pepper","Crush spices lightly||Boil water with spices||Add tea leaves and boil||Add milk and sugar||Simmer until aromatic||Strain and serve hot","Immunity booster with warming spices","beverages,tea,indian,hot,spiced","5 mins","10 mins","15 mins",2,"Easy",4.9,52,"beverages","Indian","vegetarian",95,2.8,16.5,2.5,0.2,14.2,48.5,"published",312,89,1,1,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
223,"Nimbu Paani","nimbu-paani","images/nimbu-paani.jpg","","","","Fresh lime water with salt and spices","3 limes||3 cups water||2 tbsp sugar||1 tsp salt||1/2 tsp roasted cumin powder||1/4 tsp black pepper||Mint leaves||Ice cubes","Extract lime juice||Mix with water, sugar, salt||Add cumin powder and pepper||Stir well||Add mint and ice||Serve chilled","Natural electrolyte drink","beverages,lime,indian,cold,healthy","8 mins","0 mins","8 mins",3,"Easy",4.6,29,"beverages","Indian","vegetarian",45,0.3,11.5,0.1,0.8,9.8,385.5,"published",187,45,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
224,"Thandai","thandai","images/thandai.jpg","","","","Festive milk drink with nuts and spices","2 cups milk||1/4 cup almonds||2 tbsp cashews||1 tbsp pistachios||2 tbsp sugar||1/4 tsp cardamom powder||Pinch of saffron||1/4 tsp fennel powder||Ice cubes","Soak nuts for 2 hours||Grind to smooth paste||Mix with milk and spices||Add sugar and blend||Chill for 1 hour||Serve with ice||Garnish with chopped nuts","Traditional Holi festival drink","beverages,milk,indian,cold,festive","20 mins","0 mins","20 mins",4,"Medium",4.7,31,"beverages","Indian","vegetarian",165,6.8,16.5,8.5,1.2,14.8,55.2,"published",203,58,1,1,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
225,"Jal Jeera","jal-jeera","images/jal-jeera.jpg","","","","Cumin-spiced water with mint and lemon","3 cups water||2 tbsp lemon juice||2 tsp roasted cumin powder||1 tsp black salt||1/2 tsp regular salt||1 tbsp sugar||Mint leaves||1/4 tsp chaat masala||Ice cubes","Mix all ingredients except ice||Stir until sugar dissolves||Add fresh mint leaves||Serve over ice||Garnish with mint sprig","Cooling summer drink with digestive properties","beverages,cumin,indian,cold,digestive","10 mins","0 mins","10 mins",3,"Easy",4.5,26,"beverages","Indian","vegetarian",25,0.5,6.2,0.2,0.5,4.8,485.5,"published",167,39,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
226,"Coconut Water","coconut-water","images/coconut-water.jpg","","","","Fresh tender coconut water","2 fresh tender coconuts||1 tbsp sugar (optional)||1 tsp lemon juice||Pinch of salt||Ice cubes","Extract water from coconuts||Add sugar if desired||Mix with lemon juice||Add pinch of salt||Serve chilled with ice","Natural electrolyte drink, perfect for hot weather","beverages,coconut,tropical,cold,healthy","5 mins","0 mins","5 mins",2,"Easy",4.8,33,"beverages","Tropical","vegetarian,gluten-free",45,1.8,9.2,0.5,2.6,6.2,252.5,"published",223,64,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
227,"Orange Juice","orange-juice","images/orange-juice.jpg","","","","Fresh squeezed orange juice","6 large oranges||1 tbsp sugar (optional)||Pinch of salt||Ice cubes||Orange slices for garnish","Cut oranges in half||Extract juice using juicer||Strain if desired||Add sugar and salt||Stir well||Serve over ice with orange slices","High in vitamin C, best consumed fresh","beverages,orange,citrus,cold,healthy","10 mins","0 mins","10 mins",3,"Easy",4.6,38,"beverages","American","vegetarian,gluten-free",85,1.2,21.5,0.2,2.4,17.8,2.5,"published",245,69,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
228,"Mango Smoothie","mango-smoothie","images/mango-smoothie.jpg","","","","Creamy mango smoothie with yogurt","2 ripe mangoes||1 cup yogurt||1/2 cup milk||2 tbsp honey||1/4 tsp cardamom powder||Ice cubes||Mango slices for garnish","Peel and chop mangoes||Blend with yogurt and milk||Add honey and cardamom||Blend until smooth||Add ice and blend again||Garnish with mango slices","Perfect breakfast drink or dessert","beverages,mango,smoothie,cold,creamy","10 mins","0 mins","10 mins",2,"Easy",4.7,42,"beverages","Tropical","vegetarian",185,5.8,38.5,2.5,3.2,34.8,68.5,"published",287,78,1,1,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
229,"Banana Milkshake","banana-milkshake","images/banana-milkshake.jpg","","","","Creamy banana milkshake with vanilla","3 ripe bananas||2 cups milk||3 tbsp sugar||1/2 tsp vanilla extract||1/4 tsp cinnamon powder||Ice cubes||Whipped cream for topping","Peel and slice bananas||Blend with milk and sugar||Add vanilla and cinnamon||Blend until smooth||Add ice and blend||Top with whipped cream","Kids' favorite, rich in potassium","beverages,banana,milkshake,cold,creamy","8 mins","0 mins","8 mins",3,"Easy",4.8,36,"beverages","American","vegetarian",165,6.2,32.5,3.2,2.8,28.5,85.2,"published",198,56,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
230,"Iced Coffee","iced-coffee","images/iced-coffee.jpg","","","","Cold coffee with milk and sugar","2 cups strong coffee||1/2 cup milk||3 tbsp sugar||1 tsp vanilla extract||Ice cubes||Whipped cream||Cocoa powder for dusting","Brew strong coffee and cool||Mix with milk and sugar||Add vanilla extract||Fill glass with ice||Pour coffee over ice||Top with whipped cream and cocoa","Perfect summer coffee drink","beverages,coffee,cold,caffeinated","15 mins","0 mins","15 mins",2,"Easy",4.5,29,"beverages","American","vegetarian",95,2.8,16.5,2.5,0.1,14.8,55.2,"published",176,43,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
231,"Hot Chocolate","hot-chocolate","images/hot-chocolate.jpg","","","","Rich and creamy hot chocolate drink","2 cups milk||1/4 cup cocoa powder||3 tbsp sugar||1/4 tsp vanilla extract||Pinch of salt||Whipped cream||Marshmallows||Chocolate shavings","Heat milk in saucepan||Whisk in cocoa powder||Add sugar, vanilla, salt||Whisk until smooth||Heat until steaming||Serve with toppings","Perfect winter comfort drink","beverages,chocolate,hot,creamy,winter","5 mins","8 mins","13 mins",2,"Easy",4.9,48,"beverages","European","vegetarian",185,6.8,28.5,6.2,2.8,24.5,125.2,"published",312,89,1,1,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
232,"Lemonade","lemonade","images/lemonade.jpg","","","","Classic fresh lemonade","6 lemons||4 cups water||1/2 cup sugar||Ice cubes||Lemon slices||Mint leaves for garnish","Extract lemon juice||Mix with water and sugar||Stir until sugar dissolves||Add ice cubes||Garnish with lemon slices and mint||Serve chilled","Refreshing summer classic","beverages,lemon,cold,refreshing,summer","10 mins","0 mins","10 mins",4,"Easy",4.6,34,"beverages","American","vegetarian,gluten-free",65,0.2,17.5,0.1,0.5,15.8,2.5,"published",234,67,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
233,"Green Tea","green-tea","images/green-tea.jpg","","","","Antioxidant-rich green tea","2 cups water||2 tsp green tea leaves||1 tsp honey (optional)||Lemon slice||Mint leaves","Heat water to 80°C (not boiling)||Add green tea leaves||Steep for 2-3 minutes||Strain and add honey||Garnish with lemon and mint||Serve hot","Don't over-steep to avoid bitterness","beverages,tea,green,hot,healthy","3 mins","5 mins","8 mins",2,"Easy",4.4,25,"beverages","Asian","vegetarian,gluten-free",5,0.2,1.2,0.1,0.1,0.8,2.5,"published",145,35,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
234,"Strawberry Smoothie","strawberry-smoothie","images/strawberry-smoothie.jpg","","","","Fresh strawberry smoothie with yogurt","2 cups strawberries||1 cup yogurt||1/2 cup milk||2 tbsp honey||1/4 tsp vanilla extract||Ice cubes||Strawberry slices for garnish","Hull and wash strawberries||Blend with yogurt and milk||Add honey and vanilla||Blend until smooth||Add ice and blend again||Garnish with strawberry slices","Rich in vitamin C and antioxidants","beverages,strawberry,smoothie,cold,healthy","8 mins","0 mins","8 mins",2,"Easy",4.7,31,"beverages","American","vegetarian",145,5.2,28.5,2.8,3.2,24.8,68.5,"published",203,58,1,1,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
235,"Pineapple Juice","pineapple-juice","images/pineapple-juice.jpg","","","","Fresh tropical pineapple juice","1 medium pineapple||2 tbsp sugar||1 cup water||Pinch of salt||Ice cubes||Pineapple wedges for garnish","Peel and core pineapple||Cut into chunks||Blend with water and sugar||Strain if desired||Add salt and ice||Garnish with pineapple wedges","Tropical enzyme-rich drink","beverages,pineapple,tropical,cold,healthy","15 mins","0 mins","15 mins",3,"Easy",4.5,27,"beverages","Tropical","vegetarian,gluten-free",95,0.8,24.5,0.2,1.8,21.8,2.5,"published",187,45,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
236,"Watermelon Juice","watermelon-juice","images/watermelon-juice.jpg","","","","Refreshing watermelon juice","4 cups watermelon cubes||1 tbsp lime juice||1 tsp sugar||Pinch of salt||Ice cubes||Mint leaves for garnish","Remove seeds from watermelon||Blend until smooth||Add lime juice and sugar||Strain if desired||Serve over ice||Garnish with mint","Hydrating summer drink","beverages,watermelon,cold,refreshing,summer","10 mins","0 mins","10 mins",3,"Easy",4.6,28,"beverages","American","vegetarian,gluten-free",45,0.9,11.5,0.2,0.6,9.8,2.5,"published",198,56,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
237,"Mojito (Virgin)","mojito-virgin","images/virgin-mojito.jpg","","","","Non-alcoholic mint and lime drink","12 mint leaves||2 limes||2 tbsp sugar||2 cups soda water||Ice cubes||Lime wedges for garnish","Muddle mint leaves with sugar||Add lime juice||Fill glass with ice||Top with soda water||Stir gently||Garnish with lime wedges and mint","Refreshing Cuban-inspired mocktail","beverages,mint,lime,cold,mocktail","8 mins","0 mins","8 mins",2,"Easy",4.7,33,"beverages","Cuban","vegetarian,gluten-free",35,0.2,9.2,0.1,0.8,7.8,15.2,"published",245,69,1,1,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
238,"Apple Cider","apple-cider","images/apple-cider.jpg","","","","Spiced hot apple drink","4 cups apple juice||2 cinnamon sticks||4 whole cloves||1 star anise||1 orange peel||2 tbsp honey||Apple slices for garnish","Heat apple juice with spices||Simmer for 15 minutes||Add honey and stir||Strain and serve hot||Garnish with apple slices","Perfect autumn warming drink","beverages,apple,hot,spiced,autumn","5 mins","20 mins","25 mins",4,"Easy",4.8,36,"beverages","American","vegetarian,gluten-free",85,0.2,21.5,0.2,0.5,19.8,5.2,"published",223,64,1,1,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
239,"Chocolate Milkshake","chocolate-milkshake","images/chocolate-milkshake.jpg","","","","Rich chocolate milkshake","2 cups milk||1/4 cup chocolate syrup||2 scoops vanilla ice cream||1 tbsp sugar||1/4 tsp vanilla extract||Whipped cream||Chocolate chips for topping","Blend milk with chocolate syrup||Add ice cream and sugar||Blend until smooth||Add vanilla extract||Pour into glasses||Top with whipped cream and chocolate chips","Indulgent treat for chocolate lovers","beverages,chocolate,milkshake,cold,sweet","5 mins","0 mins","5 mins",2,"Easy",4.9,44,"beverages","American","vegetarian",285,8.5,42.5,10.2,1.2,38.5,125.2,"published",287,78,1,1,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
240,"Ginger Ale","ginger-ale","images/ginger-ale.jpg","","","","Homemade ginger ale","2 inches fresh ginger||1 cup sugar||1 cup water||3 cups soda water||2 tbsp lemon juice||Ice cubes||Lemon slices for garnish","Grate ginger finely||Boil with sugar and water||Simmer for 10 minutes||Strain and cool||Mix with soda water and lemon juice||Serve over ice||Garnish with lemon slices","Natural digestive aid","beverages,ginger,cold,fizzy,digestive","15 mins","15 mins","30 mins",4,"Medium",4.5,22,"beverages","American","vegetarian,gluten-free",85,0.2,22.5,0.1,0.5,21.8,15.2,"published",156,38,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
241,"Fruit Punch","fruit-punch","images/fruit-punch.jpg","","","","Mixed fruit punch for parties","2 cups pineapple juice||1 cup orange juice||1 cup cranberry juice||1/2 cup lemon juice||2 cups ginger ale||1/4 cup sugar||Ice cubes||Mixed fruit for garnish","Mix all fruit juices||Add sugar and stir||Chill for 2 hours||Add ginger ale before serving||Serve over ice||Garnish with mixed fruits","Perfect for parties and gatherings","beverages,fruit,punch,cold,party","10 mins","0 mins","10 mins",8,"Easy",4.6,39,"beverages","American","vegetarian,gluten-free",95,0.5,24.5,0.2,0.8,22.8,15.2,"published",234,67,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
242,"Bhang Thandai","bhang-thandai","images/bhang-thandai.jpg","","","","Traditional Holi drink with cannabis leaves","2 cups milk||1/4 cup almonds||2 tbsp cashews||1 tbsp pistachios||2 tbsp bhang leaves||3 tbsp sugar||1/4 tsp cardamom powder||Pinch of saffron||1/4 tsp black pepper||Ice cubes","Soak nuts and bhang leaves for 4 hours||Grind to fine paste||Mix with milk and spices||Add sugar and blend||Strain through fine cloth||Chill for 2 hours||Serve with ice","Traditional festival drink - consume responsibly","beverages,milk,indian,cold,festival","30 mins","0 mins","30 mins",4,"Medium",4.5,18,"beverages","Indian","vegetarian",185,7.2,18.5,9.5,1.5,16.8,68.5,"published",134,29,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
243,"Kulfi Falooda","kulfi-falooda","images/kulfi-falooda.jpg","","","","Rich milk dessert drink with vermicelli","2 cups milk||1/4 cup sugar||1/4 cup kulfi||2 tbsp falooda sev||1 tbsp rose syrup||2 tbsp basil seeds||1 tbsp chopped almonds||Ice cubes","Soak basil seeds for 30 minutes||Boil falooda sev until soft||Cool completely||Layer rose syrup in glass||Add basil seeds and falooda||Pour chilled milk||Top with kulfi and almonds","Popular summer dessert drink","beverages,milk,indian,cold,dessert","20 mins","10 mins","30 mins",2,"Medium",4.8,35,"beverages","Indian","vegetarian",245,8.5,35.2,8.8,2.5,28.5,95.2,"published",267,78,1,1,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
244,"Sattu Drink","sattu-drink","images/sattu-drink.jpg","","","","Nutritious roasted gram flour drink","3 tbsp sattu (roasted gram flour)||2 cups water||2 tbsp lemon juice||1 tsp salt||1/2 tsp roasted cumin powder||1 green chili||Mint leaves||1 tbsp jaggery||Ice cubes","Mix sattu with little water to avoid lumps||Add remaining water gradually||Mix in lemon juice, salt, cumin||Add chopped chili and mint||Sweeten with jaggery||Serve chilled with ice","High protein traditional drink","beverages,sattu,indian,cold,protein","10 mins","0 mins","10 mins",2,"Easy",4.4,22,"beverages","Indian","vegetarian",125,8.2,22.5,2.5,4.2,8.5,485.5,"published",143,34,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
245,"Kala Khatta","kala-khatta","images/kala-khatta.jpg","","","","Tangy black plum drink","1 cup black plum juice||2 cups water||3 tbsp sugar||1 tsp black salt||1/2 tsp chaat masala||1 tbsp lemon juice||Ice cubes||Black plum for garnish","Mix plum juice with water||Add sugar and stir until dissolved||Add black salt and chaat masala||Mix in lemon juice||Serve over ice||Garnish with fresh black plum","Popular street drink with tangy flavor","beverages,plum,indian,cold,tangy","8 mins","0 mins","8 mins",3,"Easy",4.5,26,"beverages","Indian","vegetarian",85,0.5,21.5,0.2,1.2,19.8,285.5,"published",176,42,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
