id,title,slug,image,video_url,video_path,video_file,description,ingredients,instructions,recipe_notes,tags,prep_time,cook_time,total_time,servings,difficulty,rating,rating_count,category,cuisine_type,dietary_restrictions,calories_per_serving,protein_per_serving,carbs_per_serving,fat_per_serving,fiber_per_serving,sugar_per_serving,sodium_per_serving,status,views,likes,author_id,featured,created_at,updated_at,uploaded_by_user_id,is_user_recipe,moderation_status,moderator_notes
81,"Jambalaya","jambalaya","images/jambalaya.jpg","","","","Louisiana rice dish with sausage, chicken, and shrimp","1 1/2 cups long-grain rice||1/2 lb andouille sausage||1/2 lb chicken thighs||1/2 lb shrimp||1 onion diced||1 bell pepper diced||2 celery stalks diced||3 cups chicken stock||1 can diced tomatoes||2 bay leaves||1 teaspoon Cajun seasoning||2 cloves garlic minced","Brown sausage and chicken in large pot||Remove and set aside||Sauté trinity (onion, bell pepper, celery) in same pot||Add garlic and cook 1 minute||Add rice and toast for 2 minutes||Return meats and add stock, tomatoes, and seasonings||Bring to boil, then simmer covered 20 minutes||Add shrimp in final 5 minutes||Let stand 10 minutes before serving||Remove bay leaves before serving","Don't stir during cooking to prevent mushy rice","jambalaya,louisiana,rice,cajun","25 mins","30 mins","55 mins",6,"Medium",4.8,67,"lunch","Cajun","gluten-free",585,32.8,52.8,24.2,4.2,8.1,980.5,"published",567,167,1,1,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
82,"Larb","larb","images/larb.jpg","","","","Thai meat salad with herbs and lime dressing","1 lb ground pork||1/4 cup lime juice||2 tablespoons fish sauce||1 teaspoon sugar||2 shallots sliced||1/4 cup mint leaves||1/4 cup cilantro||2 tablespoons toasted rice powder||2 Thai chilies minced||Lettuce cups for serving||Cucumber slices for garnish","Cook ground pork in dry pan until browned||Let cool to room temperature||Mix lime juice, fish sauce, and sugar||Add cooked pork to dressing||Stir in shallots, herbs, and chilies||Add toasted rice powder for texture||Adjust seasoning to taste||Serve in lettuce cups||Garnish with cucumber slices||Serve immediately while fresh","Toast rice powder in dry pan until golden","salad,thai,larb,meat","15 mins","10 mins","25 mins",4,"Easy",4.7,45,"lunch","Thai","gluten-free",320,25.8,8.5,20.8,2.1,4.5,880.5,"published",389,112,1,0,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
83,"Empanadas","empanadas","images/empanadas.jpg","","","","Argentine pastries filled with spiced beef","2 cups flour||1/2 cup butter||1 egg||1/2 cup water||1 lb ground beef||1 onion diced||2 hard-boiled eggs chopped||1/4 cup green olives||1 teaspoon cumin||1 teaspoon paprika||Salt and pepper to taste||Oil for frying","Make dough with flour, butter, egg, and water||Let rest 30 minutes||Brown ground beef with onion||Add spices and cook until fragrant||Cool filling and add chopped eggs and olives||Roll dough thin and cut into circles||Place filling on half of each circle||Fold and seal edges with fork||Deep fry until golden brown||Drain on paper towels||Serve hot with chimichurri sauce","Seal edges well to prevent filling from leaking","empanadas,argentine,beef,fried","45 mins","20 mins","65 mins",8,"Medium",4.6,56,"lunch","Argentine","",385,18.5,32.8,22.1,3.2,4.5,680.5,"published",445,123,1,0,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
84,"Congee","congee","images/congee.jpg","","","","Chinese rice porridge with various toppings","1 cup jasmine rice||8 cups water||1/2 lb pork shoulder diced||2 preserved eggs chopped||2 green onions sliced||1 tablespoon ginger minced||2 tablespoons soy sauce||1 teaspoon sesame oil||Salt and white pepper to taste||Fried shallots for garnish","Rinse rice until water runs clear||Combine rice and water in large pot||Bring to boil, then simmer 1-2 hours stirring occasionally||Add diced pork in final 30 minutes||Stir in preserved eggs and ginger||Season with soy sauce, sesame oil, salt, and pepper||Ladle into bowls||Garnish with green onions and fried shallots||Serve hot with additional toppings","Stir frequently to prevent sticking and achieve creamy texture","congee,chinese,rice-porridge,comfort","15 mins","120 mins","135 mins",4,"Easy",4.5,34,"lunch","Chinese","gluten-free",285,18.5,42.5,6.8,1.8,2.5,880.5,"published",298,78,1,0,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
85,"Scotch Egg","scotch-egg","images/scotch-egg.jpg","","","","British snack with hard-boiled egg wrapped in sausage meat","6 eggs||1 lb pork sausage meat||1 cup flour||2 eggs beaten||2 cups breadcrumbs||Oil for deep frying||English mustard for serving||Watercress for garnish","Hard-boil 4 eggs for 8 minutes||Cool in ice bath and peel carefully||Divide sausage meat into 4 portions||Wrap each egg completely in sausage meat||Dip in flour, then beaten egg, then breadcrumbs||Deep fry at 350°F for 4-5 minutes until golden||Drain on paper towels||Serve warm or cold||Garnish with watercress||Serve with English mustard","Keep oil temperature steady for even cooking","egg,british,sausage,fried","25 mins","15 mins","40 mins",4,"Medium",4.6,45,"lunch","British","",485,28.5,32.8,28.8,2.8,3.8,980.5,"published",334,89,1,0,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
86,"Pozole","pozole","images/pozole.jpg","","","","Mexican soup with hominy and pork","1 lb pork shoulder||2 cans white hominy||6 dried guajillo chilies||4 cloves garlic||1 onion quartered||2 bay leaves||Salt to taste||Cabbage shredded||Radishes sliced||Oregano dried||Lime wedges||Crushed red pepper","Simmer pork with onion and bay leaves 2 hours||Remove pork, shred when cool||Strain and reserve broth||Toast chilies and soak in hot water||Blend chilies with garlic and soaking liquid||Strain chili mixture into broth||Add hominy and shredded pork||Simmer 30 minutes||Season with salt||Serve with cabbage, radishes, oregano, lime, and red pepper","Toast chilies lightly to avoid bitterness","soup,mexican,pozole,pork","30 mins","150 mins","180 mins",6,"Medium",4.7,67,"lunch","Mexican","gluten-free",385,25.8,32.8,18.5,6.2,8.1,880.5,"published",523,145,1,0,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
87,"Okonomiyaki","okonomiyaki","images/okonomiyaki.jpg","","","","Japanese savory pancake with cabbage and various toppings","2 cups flour||2 eggs||1 1/2 cups dashi||4 cups cabbage shredded||4 strips bacon||1/4 cup pickled ginger||Okonomiyaki sauce||Japanese mayonnaise||Bonito flakes||Aonori seaweed powder||Vegetable oil for cooking","Mix flour, eggs, and dashi to make batter||Let rest 30 minutes||Fold in shredded cabbage||Heat oil in large skillet||Pour batter to form pancake||Top with bacon strips||Cook 4-5 minutes until bottom is set||Flip carefully and cook 3-4 minutes more||Transfer to plate||Top with sauce, mayo, bonito flakes, and aonori||Serve immediately while hot","Don't overmix the batter for tender texture","pancake,japanese,okonomiyaki,cabbage","20 mins","15 mins","35 mins",4,"Medium",4.7,45,"lunch","Japanese","",385,16.8,42.5,16.2,4.2,8.1,780.5,"published",389,112,1,0,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
88,"Saag Paneer","saag-paneer","images/saag-paneer.jpg","","","","Indian curry with spinach and cottage cheese","1 lb fresh spinach||8 oz paneer cubed||1 onion diced||3 cloves garlic||1 inch ginger||1 green chili||1/2 cup heavy cream||1 teaspoon cumin||1 teaspoon coriander||1/2 teaspoon garam masala||2 tablespoons ghee||Salt to taste","Blanch spinach and blend with garlic, ginger, and chili||Heat ghee and fry paneer until golden||Remove paneer and sauté onion until soft||Add ground spices and cook 1 minute||Add spinach puree and simmer 10 minutes||Stir in cream and fried paneer||Season with salt||Garnish with fresh cream||Serve with basmati rice or naan","Don't overcook spinach to maintain vibrant color","curry,indian,spinach,paneer","20 mins","25 mins","45 mins",4,"Medium",4.8,78,"lunch","Indian","vegetarian,gluten-free",385,22.8,18.2,28.8,6.2,8.1,580.5,"published",567,167,1,1,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
67,"Paella Valenciana","paella-valenciana","images/paella.jpg","","","","Traditional Spanish rice dish with chicken and seafood","1 1/2 cups bomba rice||3 cups chicken stock||1/2 lb chicken thighs||1/2 lb prawns||1/2 cup green beans||1/4 cup lima beans||1 red bell pepper||1/4 cup olive oil||1 teaspoon smoked paprika||Pinch of saffron||Lemon wedges for serving","Heat olive oil in paella pan||Season and brown chicken pieces||Add green beans, lima beans, and bell pepper||Stir in rice and toast for 2 minutes||Add hot stock infused with saffron||Season with paprika, salt, and pepper||Simmer 15 minutes without stirring||Add prawns in final 5 minutes||Let rest 5 minutes off heat||Serve with lemon wedges","Never stir paella once the rice is added","paella,spanish,seafood,rice","25 mins","25 mins","50 mins",6,"Hard",4.9,78,"lunch","Spanish","gluten-free",485,28.5,52.8,18.5,3.2,4.5,880.5,"published",567,189,1,1,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
68,"Fish and Chips","fish-and-chips","images/fish-chips.jpg","","","","Classic British dish with beer-battered fish and thick-cut chips","1 lb white fish fillets||2 large potatoes||1 cup flour||1 cup beer||1 teaspoon baking powder||Vegetable oil for frying||Malt vinegar for serving||Mushy peas for serving||Lemon wedges||Salt to taste","Cut potatoes into thick chips and soak in cold water||Make batter with flour, beer, and baking powder||Heat oil to 350°F||Fry chips first until golden, drain||Dip fish in batter and fry until crispy||Fry for 4-5 minutes until golden brown||Drain on paper towels||Season with salt immediately||Serve with malt vinegar and mushy peas||Garnish with lemon wedges","Double-fry chips for extra crispiness","fish,chips,british,fried","20 mins","15 mins","35 mins",4,"Medium",4.7,56,"lunch","British","",585,32.8,52.8,28.8,4.2,3.8,680.5,"published",523,145,1,0,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
69,"Bento Box","bento-box","images/bento-box.jpg","","","","Japanese lunch box with rice, protein, and pickled vegetables","2 cups cooked sushi rice||1 grilled salmon fillet||1/2 cup edamame||1 rolled omelet||1/4 cup pickled vegetables||2 tablespoons teriyaki sauce||1 sheet nori||1 tablespoon sesame seeds||Soy sauce for serving","Cook sushi rice and let cool to room temperature||Grill salmon and glaze with teriyaki sauce||Make rolled omelet (tamagoyaki)||Steam edamame and season with salt||Prepare or buy pickled vegetables||Divide rice into bento box compartments||Arrange salmon, omelet, and vegetables in sections||Sprinkle with sesame seeds||Cut nori into decorative shapes||Serve with soy sauce on the side","Prepare components ahead for quick assembly","bento,japanese,balanced,healthy","25 mins","15 mins","40 mins",2,"Medium",4.8,67,"lunch","Japanese","gluten-free",485,28.5,52.8,16.2,4.5,6.2,780.5,"published",445,134,1,1,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
70,"Croque Monsieur","croque-monsieur","images/croque-monsieur.jpg","","","","French grilled sandwich with ham and cheese sauce","8 slices white bread||8 oz sliced ham||2 cups béchamel sauce||1 cup Gruyère cheese grated||2 tablespoons butter||2 tablespoons flour||1 1/2 cups milk||Pinch of nutmeg||Dijon mustard for spreading","Make béchamel by melting butter and whisking in flour||Gradually add milk, whisking constantly||Season with nutmeg, salt, and pepper||Spread mustard on bread slices||Layer ham between bread||Top sandwiches with béchamel sauce||Sprinkle with grated Gruyère||Broil until golden and bubbly||Serve immediately while hot","Use good quality ham and Gruyère for authentic flavor","sandwich,french,ham,cheese","20 mins","10 mins","30 mins",4,"Medium",4.7,45,"lunch","French","id,title,slug,image,video_url,video_path,video_file,description,ingredients,instructions,recipe_notes,tags,prep_time,cook_time,total_time,servings,difficulty,rating,rating_count,category,cuisine_type,dietary_restrictions,calories_per_serving,protein_per_serving,carbs_per_serving,fat_per_serving,fiber_per_serving,sugar_per_serving,sodium_per_serving,status,views,likes,author_id,featured,created_at,updated_at,uploaded_by_user_id,is_user_recipe,moderation_status,moderator_notes
11,"Beef and Veggie Stir-Fry","beef-veggie-stir-fry","images/stir-fry.jpg","","","","Quick Asian-inspired stir-fry with tender beef and colorful vegetables","1 lb beef sirloin cut into strips||1 bell pepper sliced||1 cup broccoli florets||1 large carrot sliced||2 tablespoons soy sauce||1 tablespoon oyster sauce||1 tablespoon sesame oil||2 cloves garlic minced||1 tablespoon vegetable oil||1 teaspoon cornstarch","Slice beef into thin strips against the grain||Marinate beef with soy sauce and cornstarch for 10 minutes||Heat vegetable oil in large wok or skillet over high heat||Stir-fry beef strips for 3-4 minutes until browned||Remove beef and set aside||Add vegetables to same pan||Stir-fry vegetables for 5-7 minutes until crisp-tender||Return beef to pan with oyster sauce and sesame oil||Toss everything together for 1-2 minutes||Serve immediately over rice","Cut vegetables uniformly for even cooking, and don't overcrowd the pan","stir-fry,beef,asian,quick","15 mins","15 mins","30 mins",4,"Medium",4.6,29,"dinner","Asian","gluten-free option",385,28.5,18.2,22.8,4.5,8.1,890.5,"published",523,145,1,0,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
12,"Grilled Chicken Salad","grilled-chicken-salad","images/grilled-chicken-salad.jpg","","","","Fresh salad with grilled chicken and vinaigrette","2 chicken breasts||4 cups mixed greens||1 cup cherry tomatoes||1 cucumber||1/4 cup red onion||1/4 cup olive oil||2 tablespoons balsamic vinegar||Salt and pepper to taste","Season chicken with salt and pepper||Grill chicken for 6-8 minutes per side until cooked through||Let chicken rest 5 minutes, then slice||Wash and chop mixed greens||Halve cherry tomatoes||Slice cucumber and red onion||Whisk olive oil and balsamic vinegar together||Toss greens with dressing||Top with grilled chicken slices and vegetables||Serve immediately","For best results, marinate chicken in olive oil and herbs for 30 minutes before grilling","grilled,chicken,salad,healthy","15 mins","15 mins","30 mins",4,"Easy",4.7,23,"lunch","Mediterranean","gluten-free",285,28.5,12.8,16.2,4.5,8.1,420.5,"published",245,67,1,0,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
13,"Veggie Wrap","veggie-wrap","images/veggie-wrap.jpg","","","","Whole wheat wrap with hummus and fresh vegetables","4 whole wheat tortillas||1 cup hummus||1 cup shredded carrots||1 cup fresh spinach leaves||1 bell pepper sliced||1/2 cup crumbled feta cheese||2 tablespoons olive oil||1 tablespoon lemon juice","Warm tortillas slightly to make them more pliable||Spread 1/4 cup hummus evenly on each tortilla||Layer shredded carrots, spinach leaves, and bell pepper slices||Sprinkle feta cheese on top||Drizzle with olive oil and lemon juice||Roll tightly, starting from one end||Slice in half diagonally||Serve immediately or wrap in foil for later","Add sliced avocado or cucumber for extra freshness and crunch","wrap,vegetarian,healthy,fresh","10 mins","0 mins","10 mins",4,"Easy",4.5,18,"lunch","Mediterranean","vegetarian",320,12.8,38.5,14.2,6.8,5.2,680.2,"published",156,42,1,0,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
14,"Tomato Basil Soup","tomato-basil-soup","images/tomato-soup.jpg","","","","Creamy soup with fresh tomatoes and aromatic basil","2 lbs fresh tomatoes||1 large onion diced||2 cloves garlic minced||2 cups vegetable broth||1/2 cup heavy cream||1/4 cup fresh basil leaves||2 tablespoons olive oil||1 teaspoon salt||1/2 teaspoon black pepper","Heat olive oil in large pot over medium heat||Sauté diced onion until translucent, about 5 minutes||Add minced garlic and cook for 1 minute||Add chopped tomatoes and cook for 10 minutes||Pour in vegetable broth and bring to boil||Reduce heat and simmer for 20 minutes||Use immersion blender to blend until smooth||Stir in heavy cream and fresh basil||Season with salt and pepper||Serve hot with crusty bread","For richer flavor, roast tomatoes in oven at 400°F for 30 minutes before adding to soup","soup,tomato,basil,comfort-food","15 mins","25 mins","40 mins",4,"Medium",4.8,34,"lunch","Italian","vegetarian",185,4.2,18.5,11.8,3.2,12.1,580.5,"published",298,89,1,0,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
15,"Turkey Club Sandwich","turkey-club-sandwich","images/turkey-club.jpg","","","","Classic three-layer sandwich with turkey, bacon, and fresh vegetables","8 slices whole grain bread||8 oz sliced roasted turkey||8 strips bacon||4 large lettuce leaves||2 large tomatoes sliced||1/4 cup mayonnaise||Salt and pepper to taste","Toast bread slices until golden brown||Cook bacon strips until crispy, drain on paper towels||Spread mayonnaise on all toast slices||Layer first slice with lettuce and tomato||Season tomatoes with salt and pepper||Add turkey slices on second layer||Top with bacon strips||Add final layer of bread||Secure with toothpicks and cut diagonally||Serve immediately with pickles","Use thick-cut bacon for best texture and flavor contrast","sandwich,turkey,bacon,classic","15 mins","10 mins","25 mins",4,"Easy",4.6,45,"lunch","American","",485,32.8,38.2,22.5,3.8,6.2,1250.8,"published",398,98,1,0,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
16,"Quinoa Veggie Bowl","quinoa-veggie-bowl","images/quinoa-bowl.jpg","","","","Nutritious power bowl with quinoa and roasted vegetables","1 cup quinoa||2 cups water||1 zucchini sliced||1 bell pepper chopped||1 cup broccoli florets||2 tablespoons olive oil||1/4 cup tahini||1 lemon juiced||2 tablespoons honey||1 clove garlic minced||Salt and pepper to taste","Rinse quinoa and cook in water for 15 minutes until tender||Preheat oven to 400°F||Toss vegetables with olive oil, salt, and pepper||Roast vegetables for 20 minutes until tender||Make dressing by whisking tahini, lemon juice, honey, and garlic||Season dressing with salt and pepper||Divide quinoa into bowls||Top with roasted vegetables||Drizzle with tahini dressing||Serve warm or at room temperature","Add avocado slices or nuts for extra protein and healthy fats","quinoa,vegan,healthy,bowl","15 mins","20 mins","35 mins",2,"Medium",4.7,28,"lunch","Middle Eastern","vegan,gluten-free",385,14.2,52.8,15.8,8.5,12.4,245.8,"published",234,76,1,0,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
17,"Caprese Salad","caprese-salad","images/caprese-salad.jpg","","","","Fresh mozzarella, tomatoes, and basil salad with balsamic glaze","2 cups fresh mozzarella balls||2 large ripe tomatoes||1/4 cup fresh basil leaves||2 tablespoons extra virgin olive oil||1 tablespoon balsamic glaze||Salt to taste||Freshly ground black pepper","Slice tomatoes into 1/4-inch thick rounds||Arrange tomato slices and mozzarella alternately on serving plate||Tuck fresh basil leaves between tomato and mozzarella||Drizzle with extra virgin olive oil||Add balsamic glaze in decorative pattern||Season with salt and freshly ground pepper||Let sit for 10 minutes to allow flavors to meld||Serve at room temperature","Use the best quality ingredients possible - ripe tomatoes and fresh mozzarella make all the difference","salad,caprese,fresh,italian","10 mins","0 mins","10 mins",4,"Easy",4.9,67,"lunch","Italian","vegetarian",245,16.8,8.2,18.5,1.8,6.1,420.2,"published",445,123,1,1,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
